NEXT 1000 BLOCKS — PRE-SOLVED
nos3bl33d / (DFG) DeadFoxGroup | x^2 = x + 1
Generated 2026-04-10 22:59:13 UTC
From block 944526 forward, 2016 blocks per step
Pentagon rotation: 530,887,154 nonces per difficulty adjustment

STEP  BLOCK_START  HALVENING  PRED_NONCE      NSWAP_NONCE     MIRROR
-------------------------------------------------------------------------------------
  468      943,488          4     789,565,759   4,075,822,579   1,070,665,519
  469      945,504          4     258,678,605   4,038,521,300   1,293,904,655
  470      947,520          4   4,022,758,747   4,268,545,717   1,533,921,007
  471      949,536          4   3,491,871,593     219,331,478   1,773,871,568
  472      951,552          4   2,960,984,439     198,676,599   1,997,110,704
  473      953,568          4   2,430,097,285     160,265,560   2,237,126,800
  474      955,584          4   1,899,210,131     389,241,401   2,477,077,361
  475      957,600          4   1,368,322,977     367,542,042   2,717,093,457
  476      959,616          4     837,435,823     330,175,738   2,940,332,593
  477      961,632          4     306,548,669     559,216,859   3,180,283,154
  478      963,648          4   4,070,628,811     789,241,276   3,420,299,506
  479      965,664          4   3,539,741,657     768,586,397   3,643,538,642
  480      967,680          4   3,008,854,503     997,562,238   3,883,489,203
  481      969,696          4   2,477,967,349     959,151,199   4,123,505,299
  482      971,712          4   1,947,080,195   1,205,887,280      51,777,140
  483      973,728          4   1,416,193,041   1,167,476,241     291,793,236
  484      975,744          4     885,305,887   1,129,065,457     531,809,332
  485      977,760          4     354,418,733   1,359,085,778     754,982,933
  486      979,776          4   4,118,498,875   1,605,887,155     994,999,285
  487      981,792          4   3,587,611,721   1,567,476,116   1,235,015,381
  488      983,808          4   3,056,724,567   1,796,451,957   1,474,965,942
  489      985,824          4   2,525,837,413   1,775,797,078   1,698,205,078
  490      987,840          4   1,994,950,259   1,737,386,039   1,938,221,174
  491      989,856          4   1,464,063,105   1,966,361,880   2,178,171,735
  492      991,872          4     933,175,951   1,945,707,256   2,401,410,871
  493      993,888          4     402,288,797   1,907,296,217   2,641,426,967
  494      995,904          4   4,166,368,939   2,404,772,794   2,881,377,784
  495      997,920          4   3,635,481,785   2,367,406,235   3,104,616,920
  496      999,936          4   3,104,594,631   2,613,093,756   3,344,567,481
  497    1,001,952          4   2,573,707,477   2,574,682,717   3,584,583,577
  498    1,003,968          4   2,042,820,323   2,536,271,678   3,824,599,673
  499    1,005,984          4   1,511,933,169   2,783,003,679   4,047,773,274
  500    1,008,000          4     981,046,015   2,744,592,895   4,287,789,370
  501    1,010,016          4     450,158,861   2,706,185,936     232,903,706
  502    1,012,032          4   4,214,239,003   3,204,706,993     456,077,563
  503    1,014,048          4   3,683,351,849   3,183,007,634     696,093,659
  504    1,016,064          4   3,152,464,695   3,144,596,595     936,109,755
  505    1,018,080          4   2,621,577,541   3,374,616,916   1,159,283,356
  506    1,020,096          4   2,090,690,387   3,352,917,557   1,399,299,452
  507    1,022,112          4   1,559,803,233   3,314,506,518   1,639,315,548
  508    1,024,128          4   1,028,916,079   3,544,527,094   1,862,489,149
